system:index,blue,cfmask,green,latitude,longitude,nbr,ndvi,nir,red,swir1,swir2,.geo,Y_Lat,X_Long,OBJECTID
1_1_LT51260522004241_0_0,513,0,840,11.64526631,104.9078894,0.62572575,0.40161726,1820,777,896,419,NA,11.64526631,104.9078894,5
1_1_LT51260522004241_0_1,802,4,940,11.51802754,104.9263632,0.38251367,0.26237005,1518,887,822,678,NA,11.51802754,104.9263632,3
1_1_LT51260522004241_0_2,20000,4,5749,11.5031066,104.9310436,0.3071189,0.07387277,7014,6049,4945,3718,NA,11.5031066,104.9310436,4
1_1_LT51260522004241_0_3,2189,4,2329,11.59833286,104.9175363,0.18136558,0.15507649,3322,2430,2807,2302,NA,11.59833286,104.9175363,1
1_1_LT51260522004241_0_4,727,2,939,11.54489019,104.9390123,0.5190244,0.17598188,1557,1091,700,493,NA,11.54489019,104.9390123,2
1_2_LE71260522004249_0_0,864,0,1044,11.64526631,104.9078894,0.62540716,0.22303921,1497,951,754,345,NA,11.64526631,104.9078894,5
1_2_LE71260522004249_0_1,1052,0,1251,11.59833286,104.9175363,0.25744125,0.31548756,2408,1253,1809,1422,NA,11.59833286,104.9175363,1
1_2_LE71260522004249_0_2,850,4,1126,11.54489019,104.9390123,0.7211121,0.22624575,1981,1250,685,321,NA,11.54489019,104.9390123,2
1_2_LE71260522004249_0_3,541,0,582,11.51802754,104.9263632,0.7241379,0.21381886,650,421,140,104,NA,11.51802754,104.9263632,3
1_1_LT51260522004257_0_0,2931,4,3058,11.51802754,104.9263632,0.46024284,0.11266975,3728,2973,1701,1378,NA,11.51802754,104.9263632,3
1_1_LT51260522004257_0_1,20000,4,3796,11.5031066,104.9310436,0.44758892,0.11156975,4578,3659,2092,1747,NA,11.5031066,104.9310436,4
1_1_LT51260522004257_0_2,20000,4,4177,11.59833286,104.9175363,0.39863986,0.08072451,4833,4111,2434,2078,NA,11.59833286,104.9175363,1
1_1_LT51260522004257_0_3,2984,4,3164,11.54489019,104.9390123,0.44154626,0.10405289,3841,3117,1775,1488,NA,11.54489019,104.9390123,2
1_1_LT51260522004257_0_4,3088,4,3234,11.64526631,104.9078894,0.37632805,0.07544422,3692,3174,2019,1673,NA,11.64526631,104.9078894,5
1_1_LT51260522004273_0_0,1052,0,1427,11.59833286,104.9175363,0.22099039,0.28861153,2478,1368,2028,1581,NA,11.59833286,104.9175363,1
1_1_LT51260522004273_0_1,540,2,785,11.54489019,104.9390123,0.6352023,0.18093285,1152,799,388,257,NA,11.54489019,104.9390123,2
1_1_LT51260522004273_0_2,461,1,690,11.51802754,104.9263632,0.52953815,0.13466136,712,543,310,219,NA,11.51802754,104.9263632,3
1_1_LT51260522004273_0_3,750,4,780,11.5031066,104.9310436,0.48070174,0.103267975,844,686,414,296,NA,11.5031066,104.9310436,4
1_1_LT51260522004273_0_4,938,0,1517,11.64526631,104.9078894,0.71367705,0.15408896,2011,1474,677,336,NA,11.64526631,104.9078894,5
1_2_LE71260522004281_0_0,20000,4,3722,11.51802754,104.9263632,0.35206234,0.07128152,4163,3609,2804,1995,NA,11.51802754,104.9263632,3
1_2_LE71260522004281_0_1,708,2,938,11.64526631,104.9078894,0.6588084,0.4675768,1935,702,877,398,NA,11.64526631,104.9078894,5
