system:index,blue,cfmask,green,latitude,longitude,nbr,ndvi,nir,red,swir1,swir2,.geo,Y_Lat,X_Long,OBJECTID
1_1_LT51260522005291_0_0,1673,4,1795,11.51802754,104.9263632,0.3232662,0.17215754,2366,1671,1489,1210,NA,11.51802754,104.9263632,3
1_1_LT51260522005291_0_1,1508,4,1720,11.5031066,104.9310436,0.5154413,0.43023694,3803,1515,1852,1216,NA,11.5031066,104.9310436,4
1_1_LT51260522005291_0_2,20000,4,6341,11.59833286,104.9175363,0.1485884,0.046244077,6957,6342,20000,5157,NA,11.59833286,104.9175363,1
1_1_LT51260522005291_0_3,20000,4,4426,11.54489019,104.9390123,0.33547038,0.039600737,4791,4426,3490,2384,NA,11.54489019,104.9390123,2
1_1_LT51260522005291_0_4,2232,4,2528,11.64526631,104.9078894,0.21620302,0.022358974,2492,2383,1928,1606,NA,11.64526631,104.9078894,5
1_2_LE71260522005299_0_0,2953,4,3175,11.64526631,104.9078894,0.16657871,0.030934244,3316,3117,2896,2369,NA,11.64526631,104.9078894,5
1_2_LE71260522005299_0_1,1230,4,1494,11.59833286,104.9175363,0.2854401,0.2107438,2344,1528,1739,1303,NA,11.59833286,104.9175363,1
1_2_LE71260522005299_0_2,1758,4,1864,11.54489019,104.9390123,0.2178164,0.09875031,2242,1839,1750,1440,NA,11.54489019,104.9390123,2
1_2_LE71260522005299_0_3,3623,4,3830,11.51802754,104.9263632,0.14821166,0.11145364,4687,3747,4288,3477,NA,11.51802754,104.9263632,3
1_2_LE71260522005299_0_4,20000,4,20000,11.5031066,104.9310436,0.12782228,-0.52706724,6194,20000,5740,4790,NA,11.5031066,104.9310436,4
